title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
The Shawshank Redemption,2h 22min," Drama
",Frank Darabont,Stephen King,Tim Robbins,9.3,"2,012,386"
The Godfather,2h 55min," Crime
,  Drama
",Francis Ford Coppola,Mario Puzo,Marlon Brando,9.2,"1,378,925"
The Godfather: Part II,3h 22min," Crime
,  Drama
",Francis Ford Coppola,Francis Ford Coppola,Al Pacino,9.0,"954,747"
The Dark Knight,2h 32min," Action
,  Crime
,  Drama
",Christopher Nolan,Jonathan Nolan,Christian Bale,9.0,"1,981,039"
12 Angry Men,1h 36min," Crime
,  Drama
",Sidney Lumet,Reginald Rose,Henry Fonda,8.9,"564,131"
Schindler's List,3h 15min," Biography
,  Drama
,  History
",Steven Spielberg,Thomas Keneally,Liam Neeson,8.9,"1,038,740"
The Lord of the Rings: The Return of the King,3h 21min," Action
,  Adventure
,  Drama
",Peter Jackson,J.R.R. Tolkien,Elijah Wood,8.9,"1,432,523"
Pulp Fiction,2h 34min," Crime
,  Drama
",Quentin Tarantino,Quentin Tarantino,John Travolta,8.9,"1,570,914"
"Il buono, il brutto, il cattivo",2h 41min," Western
",Sergio Leone,Luciano Vincenzoni,Clint Eastwood,8.9,"596,424"
Fight Club,2h 19min," Drama
",David Fincher,Chuck Palahniuk,Brad Pitt,8.8,"1,610,205"
The Lord of the Rings: The Fellowship of the Ring,2h 58min," Adventure
,  Drama
,  Fantasy
",Peter Jackson,J.R.R. Tolkien,Elijah Wood,8.8,"1,449,193"
Forrest Gump,2h 22min," Drama
,  Romance
",Robert Zemeckis,Winston Groom,Tom Hanks,8.8,"1,532,856"
Star Wars: Episode V - The Empire Strikes Back,2h 4min," Action
,  Adventure
,  Fantasy
",Irvin Kershner,Leigh Brackett,Mark Hamill,8.8,"1,010,660"
Inception,2h 28min," Action
,  Adventure
,  Sci-Fi
",Christopher Nolan,Christopher Nolan,Leonardo DiCaprio,8.8,"1,761,048"
The Lord of the Rings: The Two Towers,2h 59min," Adventure
,  Drama
,  Fantasy
",Peter Jackson,J.R.R. Tolkien,Elijah Wood,8.7,"1,294,942"
One Flew Over the Cuckoo's Nest,2h 13min," Drama
",Milos Forman,Lawrence Hauben,Jack Nicholson,8.7,"799,351"
Goodfellas,2h 26min," Crime
,  Drama
",Martin Scorsese,Nicholas Pileggi,Robert De Niro,8.7,"867,207"
The Matrix,2h 16min," Action
,  Sci-Fi
",Lana Wachowski,Lilly Wachowski,Keanu Reeves,8.7,"1,443,780"
Shichinin no samurai,3h 27min," Adventure
,  Drama
",Akira Kurosawa,Akira Kurosawa,Toshirô Mifune,8.7,"272,444"
Cidade de Deus,2h 10min," Crime
,  Drama
",Fernando Meirelles,Paulo Lins,Alexandre Rodrigues,8.6,"621,822"
Se7en,2h 7min," Crime
,  Drama
,  Mystery
",David Fincher,Andrew Kevin Walker,Morgan Freeman,8.6,"1,230,014"
Star Wars: Episode IV - A New Hope,2h 1min," Action
,  Adventure
,  Fantasy
",George Lucas,George Lucas,Mark Hamill,8.6,"1,080,902"
The Silence of the Lambs,1h 58min," Crime
,  Drama
,  Thriller
",Jonathan Demme,Thomas Harris,Jodie Foster,8.6,"1,079,608"
It's a Wonderful Life,2h 10min," Drama
,  Family
,  Fantasy
",Frank Capra,Frances Goodrich,James Stewart,8.6,"337,953"
La vita è bella,1h 56min," Comedy
,  Drama
,  Romance
",Roberto Benigni,Vincenzo Cerami,Roberto Benigni,8.6,"525,814"
The Usual Suspects,1h 46min," Crime
,  Mystery
,  Thriller
",Bryan Singer,Christopher McQuarrie,Kevin Spacey,8.6,"873,419"
De reis van Chihiro,2h 5min," Animation
,  Adventure
,  Family
",Hayao Miyazaki,Hayao Miyazaki,Daveigh Chase,8.6,"529,342"
Saving Private Ryan,2h 49min," Drama
,  War
",Steven Spielberg,Robert Rodat,Tom Hanks,8.6,"1,060,601"
Léon,1h 50min," Crime
,  Drama
,  Thriller
",Luc Besson,Luc Besson,Jean Reno,8.6,"882,588"
The Green Mile,3h 9min," Crime
,  Drama
,  Fantasy
",Frank Darabont,Stephen King,Tom Hanks,8.5,"963,252"
Interstellar,2h 49min," Adventure
,  Drama
,  Sci-Fi
",Christopher Nolan,Jonathan Nolan,Matthew McConaughey,8.6,"1,223,979"
Psycho,1h 49min," Horror
,  Mystery
,  Thriller
",Alfred Hitchcock,Joseph Stefano,Anthony Perkins,8.5,"513,273"
American History X,1h 59min," Crime
,  Drama
",Tony Kaye,David McKenna,Edward Norton,8.5,"917,720"
City Lights,1h 27min," Comedy
,  Drama
,  Romance
",Charles Chaplin,Charles Chaplin,Charles Chaplin,8.5,"138,998"
Once Upon a Time in the West,2h 45min," Western
",Sergio Leone,Sergio Donati,Henry Fonda,8.5,"260,692"
Casablanca,1h 42min," Drama
,  Romance
,  War
",Michael Curtiz,Julius J. Epstein,Humphrey Bogart,8.5,"458,628"
Modern Times,1h 27min," Comedy
,  Drama
,  Family
",Charles Chaplin,Charles Chaplin,Charles Chaplin,8.5,"180,662"
The Intouchables,1h 52min," Biography
,  Comedy
,  Drama
",Olivier Nakache,Olivier Nakache,François Cluzet,8.5,"640,914"
The Pianist,2h 30min," Biography
,  Drama
,  Music
",Roman Polanski,Ronald Harwood,Adrien Brody,8.5,"610,954"
The Departed,2h 31min," Crime
,  Drama
,  Thriller
",Martin Scorsese,William Monahan,Leonardo DiCaprio,8.5,"1,034,610"
Terminator 2: Judgment Day,2h 17min," Action
,  Sci-Fi
",James Cameron,James Cameron,Arnold Schwarzenegger,8.5,"872,824"
Back to the Future,1h 56min," Adventure
,  Comedy
,  Sci-Fi
",Robert Zemeckis,Robert Zemeckis,Michael J. Fox,8.5,"891,256"
Whiplash,1h 46min," Drama
,  Music
",Damien Chazelle,Damien Chazelle,Miles Teller,8.5,"577,346"
Rear Window,1h 52min," Mystery
,  Thriller
",Alfred Hitchcock,John Michael Hayes,James Stewart,8.5,"382,287"
Indiana Jones and the Raiders of the Lost Ark,1h 55min," Action
,  Adventure
",Steven Spielberg,Lawrence Kasdan,Harrison Ford,8.5,"779,024"
Gladiator,2h 35min," Action
,  Adventure
,  Drama
",Ridley Scott,David Franzoni,Russell Crowe,8.5,"1,163,108"
The Lion King,1h 28min," Animation
,  Adventure
,  Drama
",Roger Allers,Irene Mecchi,Matthew Broderick,8.5,"793,002"
The Prestige,2h 10min," Drama
,  Mystery
,  Sci-Fi
",Christopher Nolan,Jonathan Nolan,Christian Bale,8.5,"1,022,921"
Apocalypse Now,2h 27min," Drama
,  War
",Francis Ford Coppola,John Milius,Martin Sheen,8.5,"527,739"
Memento,1h 53min," Mystery
,  Thriller
",Christopher Nolan,Christopher Nolan,Guy Pearce,8.5,"997,576"
