title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Ladri di biciclette,1h 29min," Drama
",Vittorio De Sica,Cesare Zavattini,Lamberto Maggiorani,8.3,"120,247"
The Kid,1h 8min," Comedy
,  Drama
,  Family
",Charles Chaplin,Charles Chaplin,Charles Chaplin,8.3,"90,928"
The Sting,2h 9min," Comedy
,  Crime
,  Drama
",George Roy Hill,David S. Ward,Paul Newman,8.3,"211,173"
Toy Story 3,1h 43min," Animation
,  Adventure
,  Comedy
",Lee Unkrich,John Lasseter,Tom Hanks,8.3,"653,894"
Good Will Hunting,2h 6min," Drama
,  Romance
",Gus Van Sant,Matt Damon,Robin Williams,8.3,"735,711"
Jagten,1h 55min," Drama
",Thomas Vinterberg,Tobias Lindholm,Mads Mikkelsen,8.3,"228,764"
Snatch,1h 44min," Comedy
,  Crime
",Guy Ritchie,Guy Ritchie,Jason Statham,8.3,"696,376"
Monty Python and the Holy Grail,1h 31min," Adventure
,  Comedy
,  Fantasy
",Terry Gilliam,Graham Chapman,Graham Chapman,8.3,"444,994"
Scarface,2h 50min," Crime
,  Drama
",Brian De Palma,Oliver Stone,Al Pacino,8.3,"638,832"
Per qualche dollaro in più,2h 12min," Western
",Sergio Leone,Sergio Leone,Clint Eastwood,8.3,"195,833"
The Apartment,2h 5min," Comedy
,  Drama
,  Romance
",Billy Wilder,Billy Wilder,Jack Lemmon,8.3,"136,601"
L.A. Confidential,2h 18min," Crime
,  Drama
,  Mystery
",Curtis Hanson,James Ellroy,Kevin Spacey,8.3,"478,832"
Metropolis,2h 33min," Drama
,  Sci-Fi
",Fritz Lang,Thea von Harbou,Brigitte Helm,8.3,"137,158"
Jodaeiye Nader az Simin,2h 3min," Crime
,  Drama
,  Family
",Asghar Farhadi,Asghar Farhadi,Payman Maadi,8.3,"187,453"
Indiana Jones and the Last Crusade,2h 7min," Action
,  Adventure
,  Fantasy
",Steven Spielberg,Jeffrey Boam,Harrison Ford,8.3,"609,688"
Rashômon,1h 28min," Crime
,  Drama
,  Mystery
",Akira Kurosawa,Ryûnosuke Akutagawa,Toshirô Mifune,8.3,"127,953"
Up,1h 36min," Animation
,  Adventure
,  Comedy
",Pete Docter,Pete Docter,Edward Asner,8.3,"809,062"
All About Eve,2h 18min," Drama
",Joseph L. Mankiewicz,Joseph L. Mankiewicz,Bette Davis,8.3,"103,020"
Yôjinbô,1h 50min," Action
,  Drama
,  Thriller
",Akira Kurosawa,Akira Kurosawa,Toshirô Mifune,8.3,"92,566"
Batman Begins,2h 20min," Action
,  Adventure
,  Thriller
",Christopher Nolan,Bob Kane,Christian Bale,8.3,"1,151,243"
Some Like It Hot,2h 1min," Comedy
,  Romance
",Billy Wilder,Billy Wilder,Marilyn Monroe,8.3,"211,286"
Unforgiven,2h 10min," Drama
,  Western
",Clint Eastwood,David Webb Peoples,Clint Eastwood,8.2,"328,764"
Der Untergang,2h 36min," Biography
,  Drama
,  History
",Oliver Hirschbiegel,Bernd Eichinger,Bruno Ganz,8.2,"294,381"
The Treasure of the Sierra Madre,2h 6min," Adventure
,  Drama
,  Western
",John Huston,John Huston,Humphrey Bogart,8.3,"97,749"
Die Hard,2h 12min," Action
,  Thriller
",John McTiernan,Roderick Thorp,Bruce Willis,8.2,"693,712"
Heat,2h 50min," Crime
,  Drama
,  Thriller
",Michael Mann,Michael Mann,Al Pacino,8.2,"506,714"
Ikiru,2h 23min," Drama
",Akira Kurosawa,Akira Kurosawa,Takashi Shimura,8.3,"55,742"
Raging Bull,2h 9min," Biography
,  Drama
,  Sport
",Martin Scorsese,Jake LaMotta,Robert De Niro,8.2,"277,727"
Incendies,2h 11min," Drama
,  Mystery
,  War
",Denis Villeneuve,Denis Villeneuve,Lubna Azabal,8.2,"116,082"
The Great Escape,2h 52min," Adventure
,  Drama
,  History
",John Sturges,Paul Brickhill,Steve McQueen,8.2,"198,230"
Babam ve Oglum,1h 48min," Drama
,  Family
",Çagan Irmak,Çagan Irmak,Çetin Tekindor,8.4,"61,558"
Bacheha-Ye aseman,1h 29min," Drama
,  Family
",Majid Majidi,Majid Majidi,Mohammad Amir Naji,8.3,"47,628"
Pan's Labyrinth,1h 58min," Drama
,  Fantasy
,  War
",Guillermo del Toro,Guillermo del Toro,Ivana Baquero,8.2,"553,210"
Chinatown,2h 10min," Drama
,  Mystery
,  Thriller
",Roman Polanski,Robert Towne,Jack Nicholson,8.2,"256,679"
The Third Man,1h 44min," Film-Noir
,  Mystery
,  Thriller
",Carol Reed,Graham Greene,Orson Welles,8.2,"138,111"
Tonari no Totoro,1h 26min," Animation
,  Family
,  Fantasy
",Hayao Miyazaki,Hayao Miyazaki,Hitoshi Takagi,8.2,"226,256"
Ran,2h 42min," Action
,  Drama
",Akira Kurosawa,Akira Kurosawa,Tatsuya Nakadai,8.2,"95,692"
Hauru no ugoku shiro,1h 59min," Animation
,  Adventure
,  Family
",Hayao Miyazaki,Hayao Miyazaki,Chieko Baishô,8.2,"269,722"
Oordeel te Neurenberg,3h 6min," Drama
,  War
",Stanley Kramer,Abby Mann,Spencer Tracy,8.2,"58,731"
El secreto de sus ojos,2h 9min," Drama
,  Mystery
,  Romance
",Juan José Campanella,Eduardo Sacheri,Ricardo Darín,8.2,"166,034"
The Gold Rush,1h 35min," Adventure
,  Comedy
,  Drama
",Charles Chaplin,Charles Chaplin,Charles Chaplin,8.2,"85,482"
The Bridge on the River Kwai,2h 41min," Adventure
,  Drama
,  War
",David Lean,Pierre Boulle,William Holden,8.2,"179,946"
Bohemian Rhapsody,2h 14min," Biography
,  Drama
,  Music
",Bryan Singer,Anthony McCarten,Rami Malek,8.4,"53,524"
"Three Billboards Outside Ebbing, Missouri",1h 55min," Comedy
,  Crime
,  Drama
",Martin McDonagh,Martin McDonagh,Frances McDormand,8.2,"290,468"
A Beautiful Mind,2h 15min," Biography
,  Drama
",Ron Howard,Akiva Goldsman,Russell Crowe,8.2,"741,217"
"Lock, Stock and Two Smoking Barrels",1h 47min," Comedy
,  Crime
",Guy Ritchie,Guy Ritchie,Jason Flemyng,8.2,"479,057"
On the Waterfront,1h 48min," Crime
,  Drama
,  Thriller
",Elia Kazan,Budd Schulberg,Marlon Brando,8.2,"124,019"
Casino,2h 58min," Crime
,  Drama
",Martin Scorsese,Nicholas Pileggi,Robert De Niro,8.2,"399,141"
